sample_id	gene_symbol	entrez_id	log2fc	pvalue	padj	module	module_size	moduleCoverage	moduleCoveragePercetage
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Dhrs7	id_299135	1.5052517498444	0	0.0000391991301683812	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Scin	id_298975	1.46142164088946	0	0.0000391991301683812	rKIDNEY_23m	60	57	95
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Grhpr	id_680021	-1.32035611762148	0	0.0000391991301683812	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pcbd1	id_29700	-1.06928621915854	0	0.0000391991301683812	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mrpl20	id_680747	-0.895249663614533	0	0.0000391991301683812	rKIDNEY_37m	74	70	94.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Txn2	id_79462	-0.707400298184642	0	0.0000391991301683812	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Snca	id_29219	2.65925797814653	0	0.0000402548583570026	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cpd	id_25306	1.13777865858148	0	0.0000402548583570026	rKIDNEY_277	9	9	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mettl26	id_302998	-1.02737148680006	0	0.0000408760654070266	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pecr	id_113956	-1.60233729480581	0	0.000040887080370998	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Rida	id_65151	-1.09173713844285	0	0.000041091184021274	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Med21	id_312849	-0.941569762741533	0	0.0000412603257013408	rKIDNEY_279	9	9	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Igfbp7	id_289560	0.500932480909135	0	0.0000412603257013408	rKIDNEY_10m	118	113	95.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Psrc1	id_691380	3.56937936591766	0	0.0000419484989953994	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_RT1-Db1	id_294270	1.92733310032072	0	0.0000419484989953994	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Dhx9	id_304859	1.10153682602031	0	0.0000425988289429732	rKIDNEY_73	22	22	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_C8g	id_296545	-2.08236193604034	0	0.0000428161330970274	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Smc2	id_362519	1.80371184380197	0	0.0000428161330970274	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gpx1	id_24404	-1.31630543823876	0	0.0000428161330970274	rKIDNEY_18m	103	75	72.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cdhr2	id_291002	1.21604193251273	0	0.0000428161330970274	rKIDNEY_14m	87	76	87.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Sgpl1	id_286896	0.946654563986073	0	0.0000428161330970274	rKIDNEY_42m	75	72	96
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ndufb9	id_299954	-1.18210115666141	0	0.0000432996263412369	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Coq4	id_366013	-0.983089597839167	0	0.0000432996263412369	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_F13a1	id_60327	3.16608604059948	0	0.0000437226352266453	rKIDNEY_71	22	7	31.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tango2	id_360738	-1.30233319804445	0	0.0000437226352266453	rKIDNEY_25m	60	51	85
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ctdsp2	id_100365370	0.723503841092462	0	0.0000459703474215772	rKIDNEY_136	15	15	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pola1	id_85241	1.63640961168156	0	0.0000466729089512294	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_F2r	id_25439	1.23913364545861	0	0.0000466729089512294	rKIDNEY_332	7	7	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Sra1	id_252891	-0.633300651765898	0	0.0000466729089512294	rKIDNEY_83	19	19	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Vill	id_301057	-1.60442171734488	0	0.0000471235152388147	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Atp5me	id_140608	-1.46197685711772	0	0.00004747898055083	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Calml4	id_691455	-1.16049720301686	0	0.00004747898055083	rKIDNEY_25m	60	51	85
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Slc38a4	id_170573	2.31387557425767	0	0.0000475994622747319	rKIDNEY_15	77	19	24.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tnfaip8	id_307428	-1.91751135262807	0	0.0000482187013883678	rKIDNEY_25m	60	51	85
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tafazzin	id_363521	-0.632324142469684	0	0.0000482878808093795	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tubb5	id_29214	1.55999982742902	0	0.0000486912881117921	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Hemk1	id_300989	-1.57122121776061	0	0.0000492583195176027	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_C1qb	id_29687	2.30081922492751	0	0.000049795337217826	rKIDNEY_63m	31	20	64.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tent5a	id_300870	1.55808211645782	0	0.0000502824751445612	rKIDNEY_63m	31	20	64.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Bspry	id_64027	1.48060761889559	0	0.0000502824751445612	rKIDNEY_39m	55	55	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Map1lc3a	id_362245	-1.33915402519235	0	0.0000502824751445612	rKIDNEY_180	13	13	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm7	id_288532	1.02046710854841	0	0.0000502824751445612	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Amacr	id_25284	-1.89998941462474	0	0.0000505906846933387	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mrpl42	id_299743	-0.861492068241795	0	0.0000505906846933387	rKIDNEY_89	18	17	94.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mpc2	id_100359982	-1.04583643587231	0	0.0000518512691182543	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Prpf39	id_314171	-0.923903454580283	0	0.0000519301616082332	rKIDNEY_271	9	9	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pcsk9	id_298296	2.60104844679948	0	0.0000519905973284697	rKIDNEY_262	9	5	55.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ect2	id_361921	2.09110642896978	0	0.0000519905973284697	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gbp2	id_171164	2.01356914830878	0	0.0000519905973284697	rKIDNEY_16m	80	61	76.2
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Adgrg1	id_260326	1.58811143764022	0	0.0000519905973284697	rKIDNEY_90	18	18	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Glis2	id_302946	1.12199120426752	0	0.0000531680728782193	rKIDNEY_6m	244	230	94.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Col8a1	id_304021	3.84147797455553	0	0.0000539198846814187	rKIDNEY_31m	53	27	50.9
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Adgre1	id_316137	2.43647671470559	0	0.0000539198846814187	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ciita	id_85483	1.48649811363391	0	0.0000553291255756379	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Hars2	id_307491	-0.768628029567882	0	0.0000553291255756379	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Agxt2	id_83784	-1.59507668822449	0	0.000055369389372693	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cybb	id_66021	1.69880131816151	0	0.000055923721307827	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Adtrp	id_361228	-1.05186114558754	0	0.000055923721307827	rKIDNEY_21	45	38	84.4
